Date,Start (ET),Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes
"Sat, Nov 1, 2014",9:00 pm,Box Score,Phoenix Suns,91.0,Utah Jazz,118.0,,
"Sat, Nov 1, 2014",7:00 pm,Box Score,Milwaukee Bucks,97.0,Washington Wizards,108.0,,
"Sun, Nov 2, 2014",3:30 pm,Box Score,Sacramento Kings,98.0,Los Angeles Clippers,92.0,,
"Sun, Nov 2, 2014",6:00 pm,Box Score,Toronto Raptors,102.0,Miami Heat,107.0,,
"Sun, Nov 2, 2014",7:30 pm,Box Score,Charlotte Hornets,93.0,New York Knicks,96.0,,
"Sun, Nov 2, 2014",9:00 pm,Box Score,Golden State Warriors,95.0,Portland Trail Blazers,90.0,,
"Mon, Nov 3, 2014",7:30 pm,Box Score,Oklahoma City Thunder,85.0,Brooklyn Nets,116.0,,
"Mon, Nov 3, 2014",8:30 pm,Box Score,Boston Celtics,113.0,Dallas Mavericks,118.0,,
"Mon, Nov 3, 2014",9:00 pm,Box Score,Sacramento Kings,110.0,Denver Nuggets,105.0,,
"Mon, Nov 3, 2014",10:30 pm,Box Score,Utah Jazz,101.0,Los Angeles Clippers,107.0,,
"Mon, Nov 3, 2014",8:00 pm,Box Score,New Orleans Pelicans,81.0,Memphis Grizzlies,93.0,,
"Mon, Nov 3, 2014",7:00 pm,Box Score,Houston Rockets,104.0,Philadelphia 76ers,93.0,,
"Tue, Nov 4, 2014",8:00 pm,Box Score,Orlando Magic,90.0,Chicago Bulls,98.0,,
"Tue, Nov 4, 2014",7:00 pm,Box Score,Milwaukee Bucks,87.0,Indiana Pacers,81.0,,
"Tue, Nov 4, 2014",10:30 pm,Box Score,Phoenix Suns,112.0,Los Angeles Lakers,106.0,,
"Tue, Nov 4, 2014",7:30 pm,Box Score,Houston Rockets,108.0,Miami Heat,91.0,,
"Tue, Nov 4, 2014",8:00 pm,Box Score,Charlotte Hornets,91.0,New Orleans Pelicans,100.0,,
"Tue, Nov 4, 2014",7:30 pm,Box Score,Washington Wizards,98.0,New York Knicks,83.0,,
"Tue, Nov 4, 2014",10:00 pm,Box Score,Cleveland Cavaliers,82.0,Portland Trail Blazers,101.0,,
"Tue, Nov 4, 2014",7:30 pm,Box Score,Oklahoma City Thunder,88.0,Toronto Raptors,100.0,,
"Wed, Nov 5, 2014",7:30 pm,Box Score,Toronto Raptors,110.0,Boston Celtics,107.0,,
"Wed, Nov 5, 2014",7:30 pm,Box Score,Minnesota Timberwolves,98.0,Brooklyn Nets,91.0,,
"Wed, Nov 5, 2014",7:00 pm,Box Score,Miami Heat,89.0,Charlotte Hornets,96.0,,
"Wed, Nov 5, 2014",7:30 pm,Box Score,New York Knicks,95.0,Detroit Pistons,98.0,,
"Wed, Nov 5, 2014",10:30 pm,Box Score,Los Angeles Clippers,104.0,Golden State Warriors,121.0,,
"Wed, Nov 5, 2014",8:00 pm,Box Score,Chicago Bulls,95.0,Milwaukee Bucks,86.0,,
"Wed, Nov 5, 2014",7:00 pm,Box Score,Orlando Magic,91.0,Philadelphia 76ers,89.0,,
"Wed, Nov 5, 2014",9:00 pm,Box Score,Memphis Grizzlies,102.0,Phoenix Suns,91.0,,
"Wed, Nov 5, 2014",10:00 pm,Box Score,Denver Nuggets,109.0,Sacramento Kings,131.0,,
"Wed, Nov 5, 2014",8:30 pm,Box Score,Atlanta Hawks,92.0,San Antonio Spurs,94.0,,
"Wed, Nov 5, 2014",9:00 pm,Box Score,Cleveland Cavaliers,100.0,Utah Jazz,102.0,,
"Wed, Nov 5, 2014",8:00 pm,Box Score,Indiana Pacers,94.0,Washington Wizards,96.0,OT,
"Thu, Nov 6, 2014",8:00 pm,Box Score,San Antonio Spurs,81.0,Houston Rockets,98.0,,
"Thu, Nov 6, 2014",10:30 pm,Box Score,Dallas Mavericks,87.0,Portland Trail Blazers,108.0,,
"Fri, Nov 7, 2014",7:30 pm,Box Score,Indiana Pacers,98.0,Boston Celtics,101.0,,
"Fri, Nov 7, 2014",7:30 pm,Box Score,New York Knicks,99.0,Brooklyn Nets,110.0,,
"Fri, Nov 7, 2014",7:00 pm,Box Score,Atlanta Hawks,119.0,Charlotte Hornets,122.0,2OT,
"Fri, Nov 7, 2014",10:30 pm,Box Score,Cleveland Cavaliers,110.0,Denver Nuggets,101.0,,
"Fri, Nov 7, 2014",7:30 pm,Box Score,Milwaukee Bucks,95.0,Detroit Pistons,98.0,,
"Fri, Nov 7, 2014",8:00 pm,Box Score,Memphis Grizzlies,91.0,Oklahoma City Thunder,89.0,,
"Fri, Nov 7, 2014",7:00 pm,Box Score,Minnesota Timberwolves,103.0,Orlando Magic,112.0,OT,
"Fri, Nov 7, 2014",7:00 pm,Box Score,Chicago Bulls,118.0,Philadelphia 76ers,115.0,,
"Fri, Nov 7, 2014",9:00 pm,Box Score,Sacramento Kings,114.0,Phoenix Suns,112.0,2OT,
"Fri, Nov 7, 2014",7:30 pm,Box Score,Washington Wizards,84.0,Toronto Raptors,103.0,,
"Fri, Nov 7, 2014",9:00 pm,Box Score,Dallas Mavericks,105.0,Utah Jazz,82.0,,
"Sat, Nov 8, 2014",7:30 pm,Box Score,New York Knicks,96.0,Atlanta Hawks,103.0,,
"Sat, Nov 8, 2014",8:00 pm,Box Score,Boston Celtics,106.0,Chicago Bulls,101.0,,
"Sat, Nov 8, 2014",8:00 pm,Box Score,Golden State Warriors,98.0,Houston Rockets,87.0,,
"Sat, Nov 8, 2014",7:00 pm,Box Score,Washington Wizards,97.0,Indiana Pacers,90.0,,
"Sat, Nov 8, 2014",3:30 pm,Box Score,Portland Trail Blazers,102.0,Los Angeles Clippers,106.0,,
"Sat, Nov 8, 2014",7:30 pm,Box Score,Minnesota Timberwolves,92.0,Miami Heat,102.0,,
"Sat, Nov 8, 2014",8:30 pm,Box Score,Memphis Grizzlies,92.0,Milwaukee Bucks,93.0,,
"Sat, Nov 8, 2014",8:30 pm,Box Score,New Orleans Pelicans,100.0,San Antonio Spurs,99.0,,
"Sun, Nov 9, 2014",3:30 pm,Box Score,Orlando Magic,96.0,Brooklyn Nets,104.0,,
"Sun, Nov 9, 2014",7:30 pm,Box Score,Miami Heat,105.0,Dallas Mavericks,96.0,,
"Sun, Nov 9, 2014",6:00 pm,Box Score,Utah Jazz,97.0,Detroit Pistons,96.0,,
"Sun, Nov 9, 2014",9:30 pm,Box Score,Charlotte Hornets,92.0,Los Angeles Lakers,107.0,,
"Sun, Nov 9, 2014",7:00 pm,Box Score,Sacramento Kings,93.0,Oklahoma City Thunder,101.0,,
"Sun, Nov 9, 2014",8:00 pm,Box Score,Golden State Warriors,95.0,Phoenix Suns,107.0,,
"Sun, Nov 9, 2014",9:00 pm,Box Score,Denver Nuggets,100.0,Portland Trail Blazers,116.0,,
"Sun, Nov 9, 2014",7:00 pm,Box Score,Philadelphia 76ers,88.0,Toronto Raptors,120.0,,
"Mon, Nov 10, 2014",8:00 pm,Box Score,Detroit Pistons,91.0,Chicago Bulls,102.0,,
"Mon, Nov 10, 2014",7:00 pm,Box Score,New Orleans Pelicans,111.0,Cleveland Cavaliers,118.0,,
"Mon, Nov 10, 2014",7:00 pm,Box Score,Utah Jazz,86.0,Indiana Pacers,97.0,,
"Mon, Nov 10, 2014",10:30 pm,Box Score,San Antonio Spurs,89.0,Los Angeles Clippers,85.0,,
"Mon, Nov 10, 2014",7:30 pm,Box Score,Atlanta Hawks,91.0,New York Knicks,85.0,,
"Tue, Nov 11, 2014",8:30 pm,Box Score,Sacramento Kings,98.0,Dallas Mavericks,106.0,,
"Tue, Nov 11, 2014",10:30 pm,Box Score,San Antonio Spurs,113.0,Golden State Warriors,100.0,,
"Tue, Nov 11, 2014",8:00 pm,Box Score,Los Angeles Lakers,102.0,Memphis Grizzlies,107.0,,
"Tue, Nov 11, 2014",8:00 pm,Box Score,Oklahoma City Thunder,78.0,Milwaukee Bucks,85.0,,
"Tue, Nov 11, 2014",10:00 pm,Box Score,Charlotte Hornets,100.0,Portland Trail Blazers,102.0,,
"Tue, Nov 11, 2014",7:30 pm,Box Score,Orlando Magic,100.0,Toronto Raptors,104.0,,
"Wed, Nov 12, 2014",7:30 pm,Box Score,Utah Jazz,97.0,Atlanta Hawks,100.0,,
"Wed, Nov 12, 2014",7:30 pm,Box Score,Oklahoma City Thunder,109.0,Boston Celtics,94.0,,
"Wed, Nov 12, 2014",9:00 pm,Box Score,Portland Trail Blazers,130.0,Denver Nuggets,113.0,,
"Wed, Nov 12, 2014",7:30 pm,Box Score,Indiana Pacers,81.0,Miami Heat,75.0,,
"Wed, Nov 12, 2014",10:00 pm,Box Score,Houston Rockets,113.0,Minnesota Timberwolves,101.0,,"at Mexico City, Mexico"
"Wed, Nov 12, 2014",8:00 pm,Box Score,Los Angeles Lakers,102.0,New Orleans Pelicans,109.0,,
"Wed, Nov 12, 2014",7:30 pm,Box Score,Orlando Magic,97.0,New York Knicks,95.0,,
"Wed, Nov 12, 2014",9:00 pm,Box Score,Brooklyn Nets,104.0,Phoenix Suns,112.0,,
"Wed, Nov 12, 2014",7:00 pm,Box Score,Detroit Pistons,103.0,Washington Wizards,107.0,,
"Thu, Nov 13, 2014",8:30 pm,Box Score,Philadelphia 76ers,70.0,Dallas Mavericks,123.0,,
"Thu, Nov 13, 2014",10:30 pm,Box Score,Brooklyn Nets,99.0,Golden State Warriors,107.0,,
"Thu, Nov 13, 2014",8:00 pm,Box Score,Sacramento Kings,110.0,Memphis Grizzlies,111.0,,
"Thu, Nov 13, 2014",8:00 pm,Box Score,Chicago Bulls,100.0,Toronto Raptors,93.0,,
"Fri, Nov 14, 2014",7:30 pm,Box Score,Miami Heat,103.0,Atlanta Hawks,114.0,,
"Fri, Nov 14, 2014",7:30 pm,Box Score,Cleveland Cavaliers,122.0,Boston Celtics,121.0,,
"Fri, Nov 14, 2014",8:00 pm,Box Score,Philadelphia 76ers,87.0,Houston Rockets,88.0,,
"Fri, Nov 14, 2014",7:00 pm,Box Score,Denver Nuggets,108.0,Indiana Pacers,87.0,,
"Fri, Nov 14, 2014",10:00 pm,Box Score,San Antonio Spurs,93.0,Los Angeles Lakers,80.0,,
"Fri, Nov 14, 2014",8:00 pm,Box Score,Minnesota Timberwolves,91.0,New Orleans Pelicans,139.0,,
"Fri, Nov 14, 2014",7:30 pm,Box Score,Utah Jazz,102.0,New York Knicks,100.0,,
"Fri, Nov 14, 2014",8:00 pm,Box Score,Detroit Pistons,96.0,Oklahoma City Thunder,89.0,OT,
"Fri, Nov 14, 2014",7:00 pm,Box Score,Milwaukee Bucks,85.0,Orlando Magic,101.0,,
"Fri, Nov 14, 2014",9:00 pm,Box Score,Charlotte Hornets,103.0,Phoenix Suns,95.0,,
"Sat, Nov 15, 2014",8:00 pm,Box Score,Indiana Pacers,99.0,Chicago Bulls,90.0,,
"Sat, Nov 15, 2014",7:30 pm,Box Score,Atlanta Hawks,94.0,Cleveland Cavaliers,127.0,,
"Sat, Nov 15, 2014",8:30 pm,Box Score,Minnesota Timberwolves,117.0,Dallas Mavericks,131.0,,
"Sat, Nov 15, 2014",10:30 pm,Box Score,Charlotte Hornets,87.0,Golden State Warriors,112.0,,
"Sat, Nov 15, 2014",10:30 pm,Box Score,Phoenix Suns,107.0,Los Angeles Clippers,120.0,,
"Sat, Nov 15, 2014",8:00 pm,Box Score,Detroit Pistons,88.0,Memphis Grizzlies,95.0,,
"Sat, Nov 15, 2014",10:00 pm,Box Score,Brooklyn Nets,87.0,Portland Trail Blazers,97.0,,
"Sat, Nov 15, 2014",10:00 pm,Box Score,San Antonio Spurs,91.0,Sacramento Kings,94.0,,
"Sat, Nov 15, 2014",7:30 pm,Box Score,Utah Jazz,93.0,Toronto Raptors,111.0,,
"Sat, Nov 15, 2014",7:00 pm,Box Score,Orlando Magic,93.0,Washington Wizards,98.0,,
"Sun, Nov 16, 2014",9:30 pm,Box Score,Golden State Warriors,136.0,Los Angeles Lakers,115.0,,
"Sun, Nov 16, 2014",6:00 pm,Box Score,Milwaukee Bucks,91.0,Miami Heat,84.0,,
"Sun, Nov 16, 2014",1:00 pm,Box Score,Denver Nuggets,93.0,New York Knicks,109.0,,
"Sun, Nov 16, 2014",7:00 pm,Box Score,Houston Rockets,69.0,Oklahoma City Thunder,65.0,,
"Mon, Nov 17, 2014",7:30 pm,Box Score,Phoenix Suns,118.0,Boston Celtics,114.0,,
"Mon, Nov 17, 2014",7:30 pm,Box Score,Miami Heat,95.0,Brooklyn Nets,83.0,,
"Mon, Nov 17, 2014",7:00 pm,Box Score,Dallas Mavericks,107.0,Charlotte Hornets,80.0,,
"Mon, Nov 17, 2014",7:00 pm,Box Score,Denver Nuggets,106.0,Cleveland Cavaliers,97.0,,
"Mon, Nov 17, 2014",7:30 pm,Box Score,Orlando Magic,107.0,Detroit Pistons,93.0,,
"Mon, Nov 17, 2014",10:30 pm,Box Score,Chicago Bulls,105.0,Los Angeles Clippers,89.0,,
"Mon, Nov 17, 2014",8:00 pm,Box Score,Houston Rockets,93.0,Memphis Grizzlies,119.0,,
"Mon, Nov 17, 2014",10:00 pm,Box Score,New Orleans Pelicans,93.0,Portland Trail Blazers,102.0,,
"Mon, Nov 17, 2014",8:30 pm,Box Score,Philadelphia 76ers,75.0,San Antonio Spurs,100.0,,
"Tue, Nov 18, 2014",7:30 pm,Box Score,Los Angeles Lakers,114.0,Atlanta Hawks,109.0,,
"Tue, Nov 18, 2014",8:00 pm,Box Score,New York Knicks,113.0,Milwaukee Bucks,117.0,,
"Tue, Nov 18, 2014",10:00 pm,Box Score,New Orleans Pelicans,106.0,Sacramento Kings,100.0,,
"Tue, Nov 18, 2014",9:00 pm,Box Score,Oklahoma City Thunder,81.0,Utah Jazz,98.0,,
"Wed, Nov 19, 2014",7:30 pm,Box Score,Milwaukee Bucks,122.0,Brooklyn Nets,118.0,3OT,
"Wed, Nov 19, 2014",7:00 pm,Box Score,San Antonio Spurs,92.0,Cleveland Cavaliers,90.0,,
"Wed, Nov 19, 2014",9:00 pm,Box Score,Oklahoma City Thunder,100.0,Denver Nuggets,107.0,,
"Wed, Nov 19, 2014",7:30 pm,Box Score,Phoenix Suns,88.0,Detroit Pistons,86.0,,
"Wed, Nov 19, 2014",9:30 pm,Box Score,Los Angeles Lakers,98.0,Houston Rockets,92.0,,
"Wed, Nov 19, 2014",7:00 pm,Box Score,Charlotte Hornets,86.0,Indiana Pacers,88.0,,
"Wed, Nov 19, 2014",8:00 pm,Box Score,New York Knicks,99.0,Minnesota Timberwolves,115.0,,
"Wed, Nov 19, 2014",7:00 pm,Box Score,Los Angeles Clippers,114.0,Orlando Magic,90.0,,
"Wed, Nov 19, 2014",7:00 pm,Box Score,Boston Celtics,101.0,Philadelphia 76ers,90.0,,
"Wed, Nov 19, 2014",7:30 pm,Box Score,Memphis Grizzlies,92.0,Toronto Raptors,96.0,,
"Wed, Nov 19, 2014",7:00 pm,Box Score,Dallas Mavericks,105.0,Washington Wizards,102.0,,
"Thu, Nov 20, 2014",8:00 pm,Box Score,Los Angeles Clippers,110.0,Miami Heat,93.0,,
"Thu, Nov 20, 2014",10:30 pm,Box Score,Chicago Bulls,88.0,Sacramento Kings,103.0,,
"Fri, Nov 21, 2014",7:30 pm,Box Score,Detroit Pistons,89.0,Atlanta Hawks,99.0,,
"Fri, Nov 21, 2014",7:00 pm,Box Score,Orlando Magic,105.0,Charlotte Hornets,100.0,,
"Fri, Nov 21, 2014",8:30 pm,Box Score,Los Angeles Lakers,106.0,Dallas Mavericks,140.0,,
"Fri, Nov 21, 2014",9:00 pm,Box Score,New Orleans Pelicans,97.0,Denver Nuggets,117.0,,
"Fri, Nov 21, 2014",10:30 pm,Box Score,Utah Jazz,88.0,Golden State Warriors,101.0,,
"Fri, Nov 21, 2014",8:00 pm,Box Score,Boston Celtics,100.0,Memphis Grizzlies,117.0,,
"Fri, Nov 21, 2014",8:00 pm,Box Score,San Antonio Spurs,121.0,Minnesota Timberwolves,92.0,,
"Fri, Nov 21, 2014",8:00 pm,Box Score,Brooklyn Nets,94.0,Oklahoma City Thunder,92.0,,
"Fri, Nov 21, 2014",7:00 pm,Box Score,Phoenix Suns,122.0,Philadelphia 76ers,96.0,,
"Fri, Nov 21, 2014",10:30 pm,Box Score,Chicago Bulls,87.0,Portland Trail Blazers,105.0,,
"Fri, Nov 21, 2014",7:30 pm,Box Score,Milwaukee Bucks,82.0,Toronto Raptors,124.0,,
"Fri, Nov 21, 2014",8:00 pm,Box Score,Cleveland Cavaliers,78.0,Washington Wizards,91.0,,
"Sat, Nov 22, 2014",7:30 pm,Box Score,Toronto Raptors,110.0,Cleveland Cavaliers,93.0,,
"Sat, Nov 22, 2014",8:00 pm,Box Score,Dallas Mavericks,92.0,Houston Rockets,95.0,,
"Sat, Nov 22, 2014",7:00 pm,Box Score,Phoenix Suns,106.0,Indiana Pacers,83.0,,
"Sat, Nov 22, 2014",8:30 pm,Box Score,Washington Wizards,111.0,Milwaukee Bucks,100.0,,
"Sat, Nov 22, 2014",8:00 pm,Box Score,Sacramento Kings,113.0,Minnesota Timberwolves,101.0,,
"Sat, Nov 22, 2014",7:30 pm,Box Score,Philadelphia 76ers,83.0,New York Knicks,91.0,,
"Sat, Nov 22, 2014",7:00 pm,Box Score,Miami Heat,99.0,Orlando Magic,92.0,,
"Sat, Nov 22, 2014",8:30 pm,Box Score,Brooklyn Nets,87.0,San Antonio Spurs,99.0,,
"Sat, Nov 22, 2014",9:00 pm,Box Score,New Orleans Pelicans,106.0,Utah Jazz,94.0,,
"Sun, Nov 23, 2014",6:00 pm,Box Score,Portland Trail Blazers,94.0,Boston Celtics,88.0,,
"Sun, Nov 23, 2014",9:30 pm,Box Score,Denver Nuggets,101.0,Los Angeles Lakers,94.0,OT,
"Sun, Nov 23, 2014",6:00 pm,Box Score,Los Angeles Clippers,91.0,Memphis Grizzlies,107.0,,
"Sun, Nov 23, 2014",6:00 pm,Box Score,Charlotte Hornets,93.0,Miami Heat,94.0,,
"Sun, Nov 23, 2014",7:00 pm,Box Score,Golden State Warriors,91.0,Oklahoma City Thunder,86.0,,
"Mon, Nov 24, 2014",7:00 pm,Box Score,Los Angeles Clippers,113.0,Charlotte Hornets,92.0,,
"Mon, Nov 24, 2014",7:00 pm,Box Score,Orlando Magic,74.0,Cleveland Cavaliers,106.0,,
"Mon, Nov 24, 2014",8:30 pm,Box Score,Indiana Pacers,111.0,Dallas Mavericks,100.0,,
"Mon, Nov 24, 2014",8:00 pm,Box Score,New York Knicks,86.0,Houston Rockets,91.0,,
"Mon, Nov 24, 2014",7:00 pm,Box Score,Portland Trail Blazers,114.0,Philadelphia 76ers,104.0,,
"Mon, Nov 24, 2014",7:30 pm,Box Score,Phoenix Suns,100.0,Toronto Raptors,104.0,,
"Mon, Nov 24, 2014",9:00 pm,Box Score,Chicago Bulls,97.0,Utah Jazz,95.0,,
"Tue, Nov 25, 2014",9:00 pm,Box Score,Chicago Bulls,109.0,Denver Nuggets,114.0,,
"Tue, Nov 25, 2014",7:30 pm,Box Score,Golden State Warriors,114.0,Miami Heat,97.0,,
"Tue, Nov 25, 2014",8:00 pm,Box Score,Detroit Pistons,86.0,Milwaukee Bucks,98.0,,
"Tue, Nov 25, 2014",8:00 pm,Box Score,Sacramento Kings,99.0,New Orleans Pelicans,89.0,,
"Tue, Nov 25, 2014",7:00 pm,Box Score,Atlanta Hawks,106.0,Washington Wizards,102.0,,
"Wed, Nov 26, 2014",7:30 pm,Box Score,Toronto Raptors,126.0,Atlanta Hawks,115.0,,
"Wed, Nov 26, 2014",7:00 pm,Box Score,Portland Trail Blazers,105.0,Charlotte Hornets,97.0,,
"Wed, Nov 26, 2014",7:00 pm,Box Score,Washington Wizards,87.0,Cleveland Cavaliers,113.0,,
"Wed, Nov 26, 2014",7:30 pm,Box Score,New York Knicks,102.0,Dallas Mavericks,109.0,OT,
"Wed, Nov 26, 2014",7:30 pm,Box Score,Los Angeles Clippers,104.0,Detroit Pistons,98.0,,
"Wed, Nov 26, 2014",8:00 pm,Box Score,Sacramento Kings,89.0,Houston Rockets,102.0,,
"Wed, Nov 26, 2014",10:30 pm,Box Score,Memphis Grizzlies,99.0,Los Angeles Lakers,93.0,,
"Wed, Nov 26, 2014",8:00 pm,Box Score,Milwaukee Bucks,103.0,Minnesota Timberwolves,86.0,,
"Wed, Nov 26, 2014",8:00 pm,Box Score,Utah Jazz,82.0,Oklahoma City Thunder,97.0,,
"Wed, Nov 26, 2014",7:00 pm,Box Score,Golden State Warriors,111.0,Orlando Magic,96.0,,
"Wed, Nov 26, 2014",7:00 pm,Box Score,Brooklyn Nets,99.0,Philadelphia 76ers,91.0,,
"Wed, Nov 26, 2014",9:00 pm,Box Score,Denver Nuggets,112.0,Phoenix Suns,120.0,,
"Wed, Nov 26, 2014",8:30 pm,Box Score,Indiana Pacers,100.0,San Antonio Spurs,106.0,,
"Fri, Nov 28, 2014",7:30 pm,Box Score,New Orleans Pelicans,91.0,Atlanta Hawks,100.0,,
"Fri, Nov 28, 2014",1:00 pm,Box Score,Chicago Bulls,109.0,Boston Celtics,102.0,,
"Fri, Nov 28, 2014",7:00 pm,Box Score,Golden State Warriors,106.0,Charlotte Hornets,101.0,,
"Fri, Nov 28, 2014",9:00 pm,Box Score,Phoenix Suns,97.0,Denver Nuggets,122.0,,
"Fri, Nov 28, 2014",7:30 pm,Box Score,Milwaukee Bucks,104.0,Detroit Pistons,88.0,,
"Fri, Nov 28, 2014",8:00 pm,Box Score,Los Angeles Clippers,102.0,Houston Rockets,85.0,,
"Fri, Nov 28, 2014",8:00 pm,Box Score,Orlando Magic,83.0,Indiana Pacers,98.0,,
"Fri, Nov 28, 2014",10:30 pm,Box Score,Minnesota Timberwolves,120.0,Los Angeles Lakers,119.0,,
"Fri, Nov 28, 2014",8:00 pm,Box Score,New York Knicks,78.0,Oklahoma City Thunder,105.0,,
"Fri, Nov 28, 2014",10:00 pm,Box Score,Memphis Grizzlies,112.0,Portland Trail Blazers,99.0,,
"Fri, Nov 28, 2014",8:30 pm,Box Score,Sacramento Kings,104.0,San Antonio Spurs,112.0,,
"Fri, Nov 28, 2014",7:30 pm,Box Score,Dallas Mavericks,106.0,Toronto Raptors,102.0,,
"Sat, Nov 29, 2014",7:30 pm,Box Score,Charlotte Hornets,75.0,Atlanta Hawks,105.0,,
"Sat, Nov 29, 2014",7:30 pm,Box Score,Indiana Pacers,97.0,Cleveland Cavaliers,109.0,,
"Sat, Nov 29, 2014",9:00 pm,Box Score,Houston Rockets,117.0,Milwaukee Bucks,103.0,,
"Sat, Nov 29, 2014",7:00 pm,Box Score,Dallas Mavericks,110.0,Philadelphia 76ers,103.0,,
"Sat, Nov 29, 2014",9:00 pm,Box Score,Los Angeles Clippers,112.0,Utah Jazz,96.0,,
"Sat, Nov 29, 2014",7:00 pm,Box Score,New Orleans Pelicans,80.0,Washington Wizards,83.0,,
"Sun, Nov 30, 2014",1:00 pm,Box Score,San Antonio Spurs,111.0,Boston Celtics,89.0,,
"Sun, Nov 30, 2014",3:00 pm,Box Score,Chicago Bulls,102.0,Brooklyn Nets,84.0,,
"Sun, Nov 30, 2014",3:30 pm,Box Score,Golden State Warriors,104.0,Detroit Pistons,93.0,,
"Sun, Nov 30, 2014",9:30 pm,Box Score,Toronto Raptors,122.0,Los Angeles Lakers,129.0,OT,
"Sun, Nov 30, 2014",7:30 pm,Box Score,Miami Heat,86.0,New York Knicks,79.0,,
